Data;Hora;CPU;RAM
2025-08-06;16:13:36;8.00;75.10
2025-08-06;16:13:38;6.70;74.79
2025-08-06;16:13:39;7.50;74.79
2025-08-06;16:13:41;7.40;74.61
2025-08-06;16:13:42;10.30;74.83
2025-08-06;16:13:44;26.80;74.66
2025-08-06;16:13:45;52.80;73.93
2025-08-06;16:13:47;11.30;73.80
2025-08-06;16:13:48;15.30;73.64
2025-08-06;16:13:50;9.50;73.57
2025-08-06;16:13:51;11.70;73.55
